date,births
1/1/1959,140
1/2/1959,128
1/3/1959,120
1/4/1959,124
1/5/1959,176
1/6/1959,116
1/7/1959,180
1/8/1959,172
1/9/1959,152
1/10/1959,108
1/11/1959,152
1/12/1959,132
1/13/1959,220
1/14/1959,188
1/15/1959,180
1/16/1959,148
1/17/1959,200
1/18/1959,172
1/19/1959,164
1/20/1959,208
1/21/1959,136
1/22/1959,212
1/23/1959,156
1/24/1959,128
1/25/1959,148
1/26/1959,172
1/27/1959,156
1/28/1959,140
1/29/1959,176
1/30/1959,152
1/31/1959,96
2/1/1959,92
2/2/1959,124
2/3/1959,176
2/4/1959,152
2/5/1959,200
2/6/1959,152
2/7/1959,204
2/8/1959,124
2/9/1959,124
2/10/1959,204
2/11/1959,144
2/12/1959,180
2/13/1959,204
2/14/1959,136
2/15/1959,208
2/16/1959,188
2/17/1959,180
2/18/1959,184
2/19/1959,156
2/20/1959,192
2/21/1959,148
2/22/1959,140
2/23/1959,208
2/24/1959,168
2/25/1959,180
2/26/1959,156
2/27/1959,148
2/28/1959,120
3/1/1959,140
3/2/1959,112
3/3/1959,180
3/4/1959,136
3/5/1959,144
3/6/1959,200
3/7/1959,176
3/8/1959,156
3/9/1959,128
3/10/1959,156
3/11/1959,180
3/12/1959,172
3/13/1959,156
3/14/1959,124
3/15/1959,108
3/16/1959,120
3/17/1959,168
3/18/1959,184
3/19/1959,164
3/20/1959,144
3/21/1959,180
3/22/1959,184
3/23/1959,172
3/24/1959,152
3/25/1959,136
3/26/1959,140
3/27/1959,224
3/28/1959,144
3/29/1959,128
3/30/1959,200
3/31/1959,164
4/1/1959,156
4/2/1959,164
4/3/1959,188
4/4/1959,136
4/5/1959,144
4/6/1959,132
4/7/1959,140
4/8/1959,152
4/9/1959,152
4/10/1959,136
4/11/1959,212
4/12/1959,136
4/13/1959,136
4/14/1959,152
4/15/1959,140
4/16/1959,128
4/17/1959,168
4/18/1959,136
4/19/1959,184
4/20/1959,120
4/21/1959,184
4/22/1959,180
4/23/1959,216
4/24/1959,136
4/25/1959,148
4/26/1959,140
4/27/1959,160
4/28/1959,168
4/29/1959,232
4/30/1959,204
5/1/1959,128
5/2/1959,140
5/3/1959,152
5/4/1959,132
5/5/1959,156
5/6/1959,188
5/7/1959,152
5/8/1959,208
5/9/1959,120
5/10/1959,136
5/11/1959,160
5/12/1959,140
5/13/1959,168
5/14/1959,164
5/15/1959,168
5/16/1959,152
5/17/1959,96
5/18/1959,136
5/19/1959,172
5/20/1959,144
5/21/1959,220
5/22/1959,164
5/23/1959,180
5/24/1959,164
5/25/1959,148
5/26/1959,172
5/27/1959,156
5/28/1959,132
5/29/1959,172
5/30/1959,160
5/31/1959,152
6/1/1959,180
6/2/1959,184
6/3/1959,136
6/4/1959,140
6/5/1959,192
6/6/1959,204
6/7/1959,144
6/8/1959,132
6/9/1959,184
6/10/1959,168
6/11/1959,192
6/12/1959,136
6/13/1959,164
6/14/1959,140
6/15/1959,160
6/16/1959,136
6/17/1959,120
6/18/1959,144
6/19/1959,160
6/20/1959,156
6/21/1959,180
6/22/1959,152
6/23/1959,188
6/24/1959,132
6/25/1959,120
6/26/1959,168
6/27/1959,172
6/28/1959,164
6/29/1959,164
6/30/1959,236
7/1/1959,172
7/2/1959,180
7/3/1959,152
7/4/1959,148
7/5/1959,180
7/6/1959,168
7/7/1959,228
7/8/1959,184
7/9/1959,204
7/10/1959,164
7/11/1959,188
7/12/1959,104
7/13/1959,140
7/14/1959,176
7/15/1959,164
7/16/1959,168
7/17/1959,144
7/18/1959,180
7/19/1959,180
7/20/1959,180
7/21/1959,188
7/22/1959,152
7/23/1959,168
7/24/1959,140
7/25/1959,144
7/26/1959,156
7/27/1959,180
7/28/1959,172
7/29/1959,188
7/30/1959,144
7/31/1959,164
8/1/1959,200
8/2/1959,156
8/3/1959,164
8/4/1959,184
8/5/1959,256
8/6/1959,180
8/7/1959,136
8/8/1959,152
8/9/1959,176
8/10/1959,192
8/11/1959,184
8/12/1959,176
8/13/1959,148
8/14/1959,156
8/15/1959,176
8/16/1959,180
8/17/1959,132
8/18/1959,176
8/19/1959,152
8/20/1959,184
8/21/1959,184
8/22/1959,160
8/23/1959,156
8/24/1959,176
8/25/1959,192
8/26/1959,200
8/27/1959,164
8/28/1959,168
8/29/1959,204
8/30/1959,164
8/31/1959,176
9/1/1959,152
9/2/1959,272
9/3/1959,160
9/4/1959,168
9/5/1959,204
9/6/1959,176
9/7/1959,180
9/8/1959,144
9/9/1959,228
9/10/1959,176
9/11/1959,168
9/12/1959,212
9/13/1959,168
9/14/1959,136
9/15/1959,160
9/16/1959,224
9/17/1959,176
9/18/1959,212
9/19/1959,220
9/20/1959,156
9/21/1959,236
9/22/1959,220
9/23/1959,292
9/24/1959,220
9/25/1959,176
9/26/1959,172
9/27/1959,160
9/28/1959,188
9/29/1959,204
9/30/1959,224
10/1/1959,196
10/2/1959,216
10/3/1959,224
10/4/1959,188
10/5/1959,176
10/6/1959,172
10/7/1959,168
10/8/1959,180
10/9/1959,200
10/10/1959,192
10/11/1959,172
10/12/1959,160
10/13/1959,236
10/14/1959,164
10/15/1959,168
10/16/1959,204
10/17/1959,196
10/18/1959,180
10/19/1959,172
10/20/1959,168
10/21/1959,152
10/22/1959,188
10/23/1959,152
10/24/1959,144
10/25/1959,168
10/26/1959,140
10/27/1959,112
10/28/1959,176
10/29/1959,144
10/30/1959,180
10/31/1959,184
11/1/1959,192
11/2/1959,196
11/3/1959,172
11/4/1959,168
11/5/1959,236
11/6/1959,180
11/7/1959,208
11/8/1959,184
11/9/1959,168
11/10/1959,160
11/11/1959,160
11/12/1959,180
11/13/1959,140
11/14/1959,140
11/15/1959,160
11/16/1959,156
11/17/1959,132
11/18/1959,168
11/19/1959,188
11/20/1959,204
11/21/1959,176
11/22/1959,160
11/23/1959,228
11/24/1959,196
11/25/1959,180
11/26/1959,196
11/27/1959,204
11/28/1959,184
11/29/1959,176
11/30/1959,208
12/1/1959,180
12/2/1959,128
12/3/1959,184
12/4/1959,164
12/5/1959,136
12/6/1959,132
12/7/1959,144
12/8/1959,196
12/9/1959,172
12/10/1959,172
12/11/1959,136
12/12/1959,156
12/13/1959,140
12/14/1959,208
12/15/1959,188
12/16/1959,208
12/17/1959,156
12/18/1959,160
12/19/1959,168
12/20/1959,168
12/21/1959,212
12/22/1959,156
12/23/1959,160
12/24/1959,152
12/25/1959,176
12/26/1959,136
12/27/1959,148
12/28/1959,208
12/29/1959,192
12/30/1959,220
12/31/1959,200
